| reference | activation function | notes |
| 677 | N/A | Not a PINN paper (uses CNN for comparison, but main method is physics-informed feature extraction with KNN/SVM/LR) |
| 678 | Tanh | Mentioned |
| 679 | Tanh, Softplus | Mentioned |
| 680 | N/A | Not explicitly stated |
| 681 | Tanh, Leaky-ReLU | Mentioned |
| 682 | sigmoid, log (logarithmic) | Mentioned |
| 683 | N/A | Not a PINN paper |
| 684 | Tanh | Mentioned |
| 685 | tanh | Mentioned |
| 686 | tanh, sinusoidal (trainable) | Mentioned |
| 687 | Swish | Mentioned |
| 688 | tanh | Mentioned |
| 689 | tanh | Mentioned |
| 690 | tanh, softplus | Mentioned (softplus on outputs for positivity) |
| 691 | tanh | Mentioned |
| 692 | tanh | Mentioned |
| 693 | GELU | Mentioned |
| 694 | N/A | Not explicitly stated (activation function not identified in accessible target-paper sources) |
| 695 | tanh | Mentioned |
| 696 | N/A | Not a PINN paper |
| 697 | sigmoid | Mentioned |
| 698 | N/A | Not a PINN paper |
| 699 | N/A | Not explicitly stated |
| 700 | N/A | Not explicitly stated |
| 701 | Sigmoid, Tanh | Mentioned |
| 702 | ELU | Mentioned |
| 703 | ReLU | Mentioned |
| 704 | Tanh, Sigmoid | Mentioned |
| 705 | RBF | Mentioned |
| 706 | N/A | Not a PINN paper |
| 707 | Tanh | Mentioned |
| 708 | Tanh | Mentioned |
| 709 | Swish | Mentioned |
| 710 | Tanh | Mentioned |
| 711 | Sin | Mentioned |
| 712 | ReLU, Sigmoid, Tanh | Mentioned |
| 713 | Tanh | Mentioned |
| 714 | Tanh | Mentioned |
| 715 | Tanh | Mentioned |
| 716 | N/A | Review paper |
| 717 | N/A | Not explicitly stated |
| 718 | N/A | Not a PINN paper |
| 719 | N/A | Not explicitly stated |
| 720 | Tanh | Mentioned |
| 721 | N/A | Review paper |
| 722 | Tanh | Mentioned |
| 723 | N/A | Not explicitly stated (mentions "smooth activation functions" generally) |
| 724 | Tanh | Mentioned |
| 725 | ReLU | Mentioned |
| 726 | ReLU, Tanh | Mentioned |
| 727 | Swish | Mentioned |
| 728 | Tanh | Mentioned |
| 729 | N/A | Not explicitly stated |
| 730 | N/A | Quantum gates used (Kerr gate provides non-linearity); not a classical activation function |
| 731 | Sine | Mentioned |
| 732 | Tanh | Mentioned |
| 733 | Tanh (with adaptive activation functions and slope recovery) | Mentioned |
| 734 | tanh | Mentioned |
| 735 | tanh | Mentioned |
| 736 | sin | Mentioned for the MLP component of the cell-based model |
| 737 | N/A | Not explicitly stated |
| 738 | tanh | Mentioned for the Echo State Network reservoir |
| 739 | Gaussian Error Linear Units (GELUs) | Mentioned |
| 740 | tanh | Mentioned |
| 741 | tanh | Mentioned |
| 742 | ReLU, leaky ReLU | Mentioned |
| 743 | N/A | Not explicitly stated |
| 744 | N/A | Not explicitly stated |
| 745 | N/A | Not explicitly stated |
| 746 | tanh, ReLU, GeLU | Mentioned for DeepONet (tanh), FNO/RIFNO (ReLU), WNO (GeLU) |
| 747 | φ(x)=max{x³,0}, φ(x)=max(0,x)² | Mentioned; first for main experiments, second for eigenvalue problems |
| 748 | ReLU, tanh, sigmoid | Mentioned for encoder (ReLU), ConvLSTM gates (tanh/sigmoid) |
| 749 | ReLU | Mentioned |
| 750 | tanh | Mentioned |
| 751 | tanh | Mentioned |
| 752 | ReLU, max(0,x³) | Mentioned |
| 753 | N/A | Not explicitly stated |
| 754 | N/A | Not explicitly stated |
| 755 | ReLU | Mentioned |
| 756 | Tanh | Mentioned |
| 757 | ELU, ReLU | Mentioned |
| 758 | swish | Mentioned |
| 759 | ReLU | Mentioned |
| 760 | N/A | Not a PINN paper |
| 761 | N/A | Not a PINN paper |
| 762 | N/A | Not a PINN paper |
| 763 | N/A | Not a PINN paper |
| 764 | N/A | Not a PINN paper |
| 765 | N/A | Not a PINN paper |
| 766 | ABU-PINN (adaptive blending), sin, tanh, GELU, Swish, Softplus, ELU, sigmoid, exp, cos, Softplus, ELU, GELU, Swish | Mentioned (candidate set and standard activations) |
| 767 | N/A | Not a PINN paper |
| 768 | N/A | Not a PINN paper |
| 769 | N/A | Not a PINN paper |
| 770 | N/A | Not a PINN paper |
| 771 | N/A | Not a PINN paper |
| 772 | N/A | Not a PINN paper |
| 773 | sine | Mentioned |
| 774 | sine | Mentioned |
| 775 | tanh | Mentioned |
| 776 | N/A | Not explicitly stated (activation function not identified in accessible target-paper sources) |
| 777 | N/A | Not explicitly stated (adaptive activation functions mentioned but specific function not named) |
| 778 | x + sin²(x) | Mentioned |
| 779 | Softsign, Softplus, Tanh, Tanhshrink, RReLU | Mentioned (optimized via DE algorithm) |
| 780 | tanh | Mentioned |
| 781 | softplus | Mentioned |
| 782 | tanh | Mentioned |
| 783 | ReLU | Mentioned |
| 784 | N/A | Not a PINN paper |
| 785 | tanh | Mentioned |
| 786 | ReLU, linear | Mentioned |
| 787 | tanh | Mentioned |
| 788 | tanh | Mentioned |
| 789 | tanh | Mentioned |
| 790 | sin, tanh, selu, poly, elu, swish | Mentioned |
| 791 | N/A | Not explicitly stated |
| 792 | N/A | Not explicitly stated |
| 793 | tanh | Mentioned |
| 794 | N/A | Not explicitly stated; uses GRU/attention mechanism |
| 795 | tanh, sigmoid | Mentioned |
| 796 | N/A | Not explicitly stated; uses Transformer architecture |
| 797 | sigmoid | Mentioned |
| 798 | tanh | Mentioned |
| 799 | sin, tanh | Mentioned |
| 800 | N/A | Not explicitly stated |
| 801 | ReLU | Mentioned |
| 802 | ReLU | Mentioned |
| 803 | N/A | Not explicitly stated (theory-guided neural network; activation function not identified in accessible target-paper sources) |
| 804 | Gaussian RBF | Mentioned |
| 805 | N/A | Not explicitly stated |
| 806 | sigmoid | Mentioned |
| 807 | tanh | Mentioned |
| 808 | N/A | Not a PINN paper (FNO) |
| 809 | N/A | Not a PINN paper (Fourier neural operator; activation function not identified in accessible target-paper sources) |
| 810 | Softsign | Mentioned |
| 811 | Softsign | Mentioned |
| 812 | N/A | Not explicitly stated (activation function not identified in accessible target-paper sources) |
| 813 | adaptive tanh | Mentioned (feed-forward neural networks with Fourier/inverse-Fourier transformation and adaptive tanh activation) |
| 814 | tanh | Mentioned |
| 815 | sigmoid, ReLU | Mentioned |
| 816 | tanh | Mentioned |
| 817 | Softplus | Mentioned |
| 818 | tanh | Mentioned |
| 819 | tanh | Mentioned |
| 820 | tanh, sine, Gaussian, swish, softplus | Mentioned |
| 821 | sin, tanh, GELU, Swish, Softplus | Mentioned; adaptive activation functions |
| 822 | tanh, sigmoid, ReLU | Mentioned |
| 823 | tanh | Mentioned |
| 824 | N/A | Not a PINN paper |
| 825 | tanh | Mentioned |
| 826 | sigmoid, tanh | Mentioned |
| 827 | tanh | Mentioned |
| 828 | ReLU | Mentioned |
| 829 | tansig, purelin | Mentioned (MATLAB terminology for tanh and linear) |
| 830 | tanh | Mentioned |
| 831 | identity (linear) | Mentioned only for the linear building block; other activations not specified |
| 832 | tanh | Mentioned |
| 833 | tanh | Mentioned |
| 834 | tanh | Mentioned |
| 835 | sigmoid, tanh, scaled sigmoid | Mentioned |
| 836 | tanh, sigmoid | Mentioned |
| 837 | tanh | Mentioned |
| 838 | N/A | Review paper |
| 839 | N/A | Review paper |
| 840 | tanh | Mentioned |
| 841 | N/A | Not explicitly stated |
| 842 | tanh | Mentioned |
| 843 | tanh | Mentioned |
| 844 | LeakyReLU | Mentioned |
| 845 | SLU, sigmoid | Mentioned |
| 846 | N/A | Perspective review |
| 847 | ReLU | Mentioned |
| 848 | tanh | Mentioned |
| 849 | tanh, sigmoid | Mentioned |
| 850 | ReLU, Linear | Mentioned |
| 851 | Softplus | Mentioned |
| 852 | tanh | Mentioned |
| 853 | ReLU, LeakyReLU | Mentioned |
